developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,total_reviews,total_positive,total_negative,positive_percentual,metacritic,is_free,price_initial (USD),label_positive,release_year
['MYSTERY CROWN'],['MYSTERY CROWN'],"['Single-player', 'Family Sharing']","['Casual', 'Indie', 'RPG', 'Simulation']",0,26,"['windows', 'mac']",True,24,17,7,70.8,0,False,6.99,0,
['Corj Dev'],[],"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Racing', 'Simulation', 'Sports']",0,0,['windows'],True,8,8,0,100.0,0,False,0.99,1,
['Hue Axis Entertainment'],['Horny Capybara Studio'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",0,81,['windows'],True,130,119,11,91.5,0,False,3.99,1,
['Auto DEVs'],[],"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Simulation', 'Sports']",0,0,['windows'],True,8,8,0,100.0,0,False,0.99,1,
['Short Circuit Studios'],['Short Circuit Studios'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Casual', 'Indie', 'Simulation', 'Strategy']",0,20,"['windows', 'mac', 'linux']",True,16,15,1,93.8,0,False,6.99,1,
['POISON'],['PRODUCTION PENCIL'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",['Adventure'],0,9,['windows'],True,3,2,1,66.7,0,False,24.99,0,
['Guillaume Fradin'],['Guillaume Fradin'],"['Single-player', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",0,7,"['windows', 'mac', 'linux']",True,5,5,0,100.0,0,False,3.99,1,
['GFDS Inc.'],['GFDS Inc.'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Action', 'Adventure', 'Strategy', 'Early Access']",0,0,['windows'],True,5,4,1,80.0,0,False,9.99,1,
['Wenkly Studio Sp. z o.o.'],['Wenkly Studio Sp. z o.o.'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Action', 'Indie']",0,0,['windows'],True,33,20,13,60.6,0,False,19.99,0,
['苗歌开发组'],['2P Games'],"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",0,0,['windows'],True,1,1,0,100.0,0,False,8.99,1,
['Hunny Bunny Studio'],['Hunny Bunny Studio'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Casual', 'Indie']",0,12,['windows'],True,10,8,2,80.0,0,False,0.99,1,
['VitaminsizDev'],['VitaminsizDev'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Stats', 'Steam Leaderboards', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']",0,9,"['windows', 'mac']",True,53,51,2,96.2,0,False,4.99,1,
['AiAiFactory'],[' Dieselmine'],"['Single-player', 'Family Sharing']",['Casual'],0,0,['windows'],True,9,9,0,100.0,0,False,1.99,1,
['ReaX pts'],['ReaX Games'],"['Single-player', 'Family Sharing']","['Casual', 'Indie', 'Simulation', 'Strategy']",0,0,['windows'],True,1,1,0,100.0,0,False,0.99,1,
['Loong'],['Loong'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",['RPG'],0,17,['windows'],True,2,1,1,50.0,0,False,5.99,0,
['VchiBan'],['VchiBan'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Indie', 'Simulation', 'Strategy']",0,13,['windows'],True,83,76,7,91.6,0,False,3.99,1,
['Mavi Game Studio'],['Mavi Game Studio'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Family Sharing']","['Casual', 'Indie', 'Racing', 'Simulation', 'Sports', 'Strategy']",0,0,['windows'],True,2,0,2,0.0,0,False,12.99,0,
['İNİTİUM STUDİO'],['İNİTİUM STUDİO'],"['Single-player', 'VR Only', 'Family Sharing']","['Racing', 'Simulation', 'Sports']",0,0,['windows'],True,5,1,4,20.0,0,False,7.99,0,
['Sophism Games'],['Sophism Games'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",['Simulation'],0,9,['windows'],True,4,2,2,50.0,0,False,16.99,0,
"['WolffWare', 'BuffGames']",['BuffGames'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Racing']",0,21,"['windows', 'mac']",True,1,1,0,100.0,0,False,2.99,1,
['Whimsical Universes'],['Whimsical Universes'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Indie']",0,10,['windows'],True,68,68,0,100.0,0,False,1.99,1,
['Byaka Games'],['Byaka Games'],"['Single-player', 'Family Sharing']","['Casual', 'Indie']",0,0,"['windows', 'mac', 'linux']",True,3,1,2,33.3,0,False,7.99,0,
['GreenDroid'],['GreenDroid'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Family Sharing']","['Action', 'Indie', 'Strategy']",0,0,['windows'],True,1,1,0,100.0,0,False,3.99,1,
['That Indie Studio'],['That Indie Studio'],"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",0,0,['windows'],True,3,3,0,100.0,0,False,4.99,1,
['Patrik Nagy'],['Pretty Soon'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Workshop', 'Includes level editor', 'HDR available', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']",0,14,['windows'],True,103,50,53,48.5,0,False,7.99,0,
['Stellar Mythical'],['Stellar Mythical'],"['Single-player', 'Full controller support', 'Family Sharing']","['Casual', 'Indie']",0,0,['windows'],True,5,5,0,100.0,0,False,4.99,1,
['Honey Tales Factory'],['Honey Tales Factory'],"['Single-player', 'Family Sharing']","['Casual', 'Indie']",0,0,"['windows', 'mac']",True,11,7,4,63.6,0,False,11.99,0,
['Dizzy Magnolia LLC'],['Dizzy Magnolia LLC'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,0,['windows'],True,1,1,0,100.0,0,False,9.99,1,
['KITTYPOOL'],['KITTYPOOL'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Indie']",0,10,['windows'],True,1,1,0,100.0,0,False,0.99,1,
['STP WORKS'],['STP WORKS'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,18,['windows'],True,4,2,2,50.0,0,False,3.99,0,
['Max Tera'],['Max Tera'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,6,['windows'],True,4,3,1,75.0,0,False,2.99,0,
['Arquipélago'],['Arquipélago'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Indie']",0,4,['windows'],True,2,2,0,100.0,0,False,0.99,1,
['Retroactive Fort'],['Retroactive Fort'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Simulation']",0,8,['windows'],True,1,1,0,100.0,0,False,2.99,1,
['CYCLOPS'],['CYCLOPS'],"['Single-player', 'Family Sharing']","['Indie', 'Simulation', 'Strategy']",0,0,"['windows', 'mac']",True,6,4,2,66.7,0,False,9.99,0,
['白露社'],['白露社'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",0,17,['windows'],True,2,2,0,100.0,0,False,8.99,1,
['Boing Boing Games'],['Boing Boing Games'],"['Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Family Sharing']",['Action'],0,1,['windows'],True,1,0,1,0.0,0,False,2.99,0,
['Perg Valley'],['Perg Valley'],"['Single-player', 'Family Sharing']","['Action', 'Indie']",0,7,"['windows', 'mac', 'linux']",True,1,1,0,100.0,0,False,2.99,1,
['Spectrum Quality'],['Spectrum Quality'],"['Single-player', 'Steam Achievements', 'Family Sharing']",['Strategy'],0,9,['windows'],True,2,2,0,100.0,0,False,9.99,1,
['HaoHao Games'],['HaoHao Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']",['Simulation'],0,13,['windows'],True,1,0,1,0.0,0,False,1.99,0,
